title,link,image,author,discount,publisher,pubdate,isbn,description
파이썬과 데이터 과학 (파이썬으로 시작하는 데이터 과학과 기계학습),https://search.shopping.naver.com/book/catalog/32491517782,https://shopping-phinf.pstatic.net/main_3249151/32491517782.20230313182516.jpg,천인국^박동규,24700,생능출판,20201228,9788970504773,"최근 가장 빠르게 인기를 얻고 있는 프로그래밍 언어는 바로 파이썬이다. 그 속도는 놀라울 정도로 빠르며, 새롭게 프로그래밍 언어를 배우는 이들이 가장 많이 시작하는 언어로 자리 잡았다. 다른 언어를 주로 사용하던 프로그래머들도 파이썬을 접하고 나서는 자신이 사용하는 프로그래밍 언어 목록에서 파이썬을 쉽게 제외하지 않는다.
이러한 인기의 비결은 무엇보다 파이썬의 문법이 간결하고 익히기 쉬워 초보자들도 직관적인 코딩을 할 수 있다는 점일 것이다. 그러나 쉽다는 것만으로 최상의 인기를 누리는 프로그래밍 언어 자리를 차지할 수는 없다. 여러 가지 중요한 문제를 빠르게 해결해 주는 생산성도 없이 그저 쉽기만 한 언어는 장난감 언어에 불과할 것이다.
파이썬은 간결한 코드로도 엄청나게 많은 일을 할 수 있으며, 이것이 지금의 영예를 누릴 수 있게 된 가장 중요한 이유이다. 특히 최근의 컴퓨터 과학 분야에서 가장 중요한 영역이라 할 데이터 과학에 최적인 언어이면서, 기계학습과 인공지능 분야의 소프트웨어 개발을 가장 효율적으로 해낼 수 있는 언어이다.
저자들은 독자들에게 파이썬의 문법을 설명하는 일 이상을 하고 싶었다. 그러한 이유로 파이썬의 강력한 능력을 드러내어, 더 깊고 풍부한 프로그래밍의 세계로 독자를 안내하기 위해 이 책을 기획하였다.
독자들에게 파이썬 언어의 핵심을 전달하는 일과 함께 수치 데이터, 텍스트와 이미지 데이터를 전문가처럼 다룰 수 있도록 돕는 것이 이 책의 목적이다.
이 책의 저자들은 ""두근두근 파이썬""과 ""으뜸 파이썬""이라는 파이썬 문법 도서를 따로 내어 많은 독자들의 사랑을 받은 바가 있다. 그리고 이제 그 파이썬을 이용해서 할 수 있는 놀라운 일들을 독자들에게 소개하고, 데이터 과학 분야에 들어서는 것을 돕고자 뜻을 모아 이 책을 함께 만들었다. 독자들의 사랑과 충고를 기대한다.

이 책의 특징은 다음과 같다.
ㆍ 파이썬을 처음 익히는 독자들을 위한 친절하고 상세한 설명과 많은 예시 그림이 있다.
ㆍ 각 장은 핵심주제에 맞는 짧은 절로 나뉘어져 있어 간결하게 핵심을 파악할 수 있다.
ㆍ 독자들이 이해한 내용을 스스로 연습하고 확인해 볼 수 있는 LAB 문제들이 있다.
ㆍ 파이썬의 기초부터 시작하지만 실무에 활용 가능한 데이터 처리, 시각화 기술을 다루고 있다.
ㆍ 기계학습과 인공지능 분야의 기초를 독자들이 쉽게 이해할 수 있도록 하였다.
ㆍ 기계학습의 주요 라이브러리인 sckit-learn과 최신 버전의 텐서플로 2.0을 사용하였다."
두근두근 파이썬 (만들면서 배우는),https://search.shopping.naver.com/book/catalog/36813141618,https://shopping-phinf.pstatic.net/main_3681314/36813141618.20230131165403.jpg,천인국,23750,생능출판,20230105,9788970506562,"파이썬은 지금도 프로그래밍 언어 분야에 1위를 지키고 있는 매우 인기있는 언어이다. 파이썬은 인공지능이나 빅데이터 분야의 필수 언어가 되었고, 과학이나 공학 분야 뿐만 아니라 인문, 사회 과학 분야에서도 사용되고 있다. 무엇보다도 간결하고 사용하기가 쉬워서 그럴 것이다. 이번 개정판에서는 다음과 같은 점을 보완하고 수정하였다.

ㆍ 초판과 마찬가지로 적절한 그림을 가능한, 많이 사용하여 친숙하고, 지루하지 않으며 독자들이 이해하기 쉬운 교재를 만들려고 노력하였다. 터틀 그래픽과 tkinter 등을 이용하여서 흥미있는 예제들을 제공하려고 노력하였다.

ㆍ 파이썬이 인기있는 또 다른 이유는 강력한 라이브러리 때문이다. 초판에 비하여, 개정판에서는 라이브러리 사용 예제를 추가하였다. 너무 복잡한 라이브러리는 제외하였고 맷플롯립(MatPlotLib), 필로우(Pillow), OpenCV, PyGame 등의 기초적인 예제를 추가하였다.

ㆍ 예제 중에서 좀 더 심도있게 살펴보아야 할 주제는 LAB으로 제공하였다. LAB의 기본 소스를 학습자들이 수정 보완할 수 있도록 도전 문제를 추가하였다.

ㆍ 학습자들이 프로젝트로 진행할만한 주제들을 8장과 14장에 배치하여서 프로젝트 주제로 사용될 수 있도록 하였다."
"코딩 뇌를 깨우는 파이썬 (문제 해결 능력을 키우는 컴퓨팅 사고부터 알고리즘, 데이터 분석, 머신러닝까지)",https://search.shopping.naver.com/book/catalog/42173058623,https://shopping-phinf.pstatic.net/main_4217305/42173058623.20230905101047.jpg,존 V. 구태그,31500,한빛미디어,20230830,9791169211376,"잠자는 코딩 뇌를 깨워라
파이썬 기초부터 머신러닝까지 한 권에!

프로그래밍 경험이나 지식이 없는 분들을 위해 파이썬과 다양한 라이브러리(넘파이, 맷플롯립, 판다스, 사이킷런 등)를 사용한 문제 해결 비법을 소개합니다. 이 책을 통해 일상에서 마주하는 다양한 문제를 프로그래밍으로 해결하는 기술을 배워보세요. 데이터 모델링과 해석 같은 데이터 과학의 핵심을 배우고, 간단한 머신러닝 기법도 만나봅니다.
이 책은 MIT 강의를 기반으로 만들어진 컴퓨터 과학 입문서로 프로그래밍을 전혀 모르는 초보자도 부담 없이 펼쳐볼 수 있습니다. 컴퓨팅 사고와 간단한 알고리즘처럼 프로그래밍 입문에 꼭 필요한 주제로 잠들어 있던 코딩 뇌를 깨우세요. 각 장에 마련된 뇌풀기 문제를 통해 데이터 시각화나 시뮬레이션, 데이터 계산 기법, 머신러닝 같은 실용적인 주제를 살펴보며 프로그래밍 능력을 키워봅시다."
"Do it! 점프 투 파이썬 (중학생도 첫날부터 실습하는 초고속 입문서, 전면 개정 2판)",https://search.shopping.naver.com/book/catalog/40354085633,https://shopping-phinf.pstatic.net/main_4035408/40354085633.20230915071858.jpg,박응용,19800,이지스퍼블리싱,20230615,9791163034735,"프로그래밍 분야 8년 연속 베스트셀러! 《Do it! 점프 투 파이썬》 전면 개정 2판 출시! 중고등학생도, 비전공자도, 직장인도 프로그래밍에 눈뜨게 만든 바로 그 책이 전면 개정 2판으로 새롭게 태어났다! 챗GPT를 시작으로 펼쳐진 생성 AI 시대에 맞춰 설명과 예제를 다듬고, 최신 경향과 심화 내용을 보충했다. 또한 이번 개정 2판도 50만 코딩 유튜버인 조코딩과 협업을 통해 유튜브 동영상을 제공해 파이썬을 더 쉽게 공부할 수 있다.



8년 연속 베스트셀러! 위키독스 누적 방문 300만! 독자의 입에서 입으로 전해진 추천과 수많은 대학 및 학원의 교재 채택을 통해 검증은 이미 끝났다. 코딩을 처음 배우는 중고등학생부터 코딩 소양을 기르려는 비전공자, 자기계발에 진심인 직장인까지! 이 책과 함께 파이썬 프로그래밍의 세계로 ‘점프’해 보자!"
파이썬의 정석,https://search.shopping.naver.com/book/catalog/36925491630,https://shopping-phinf.pstatic.net/main_3692549/36925491630.20230321164704.jpg,조용주^임좌상,26820,길벗캠퍼스,20230110,9791140702671,"프로그래밍 입문자를 위한 파이썬의 입문 가이드

4차 산업혁명의 핵심인 머신러닝, 사물 인터넷(IoT), 데이터 분석 등 다양한 분야에 활용되는
직관적이고 간결한 문법의 파이썬 프로그래밍 언어를 최신 트렌드에 맞게 예제 중심으로 학습
할 수 있습니다.
무엇보다 프로그래밍을 처음 접하는 학생과 파이썬 초보자를 위한 파이썬 입문용 교육교재이
기 때문에 프로그래밍 언어 가운데 가장 쉽고 강력한 파이썬의 기초 내용부터 변수, 반복문,
자료구조, 객체 지향 프로그램의 탄탄한 활용까지 장별로 강화된 연습문제와 실무 프로젝트
등 규모 있는 프로그램으로 실력을 향상시킬 수 있습니다.
이 책의 장점, 3가지 요약
코딩의 개념을 깨우치고 데이터 분석 및 웹 개발의 시작을 위한
파이썬 프로그래밍의 완벽 가이드
코딩을 한번도 접해보지 못한 학생도 기초부터 심화 단계까지
파이썬 프로그래밍의 문법을 집중적으로 배울 수 있다!
방금 배운 내용의 결과물을 바로 확인할 수 있는 문제해결을 위한
프로젝트성 실습문제 43개와 다양한 상황을 제시하여 응용 능력을 높여주는 279개 연습문제"
파이썬으로 쉽게 배우는 자료구조 (개정판),https://search.shopping.naver.com/book/catalog/40595743620,https://shopping-phinf.pstatic.net/main_4059574/40595743620.20230711115354.jpg,최영규^천인국,26100,생능출판,20230626,9791192932187,"자료구조(data structure)는 컴퓨터로 처리할 자료들을 효율적으로 관리하고 구조화시키기 위한 학문으로 컴퓨터 분야에서 매우 중요하고 기초적인 과목이다. 그러나 개념의 이해와 함께 코딩을 통한 구현 능력이 필수적으로 요구되기 때문에 학생들이 어려워하는 과목이기도 하다.
이 책은 입문자들이 보다 쉽고 재미있게 자료구조를 공부하고 다양한 문제 해결에 활용할 수 있는 능력을 기르는데 초점을 맞추었다."
디딤돌 파이썬 (구조적 프로그래밍으로 설명한 파이썬 기초),https://search.shopping.naver.com/book/catalog/34233217628,https://shopping-phinf.pstatic.net/main_3423321/34233217628.20221019114545.jpg,이찬수,26100,인피니티북스,20220823,9791192373058,"이 책은 파이썬의 고유한 문법이나 그에 대한 활용보다는, 파이썬 언어를 기반으로 한 컴퓨터 프로그래밍과 문제해결에 비중을 두고 있다. 이를 위해 일반적인 파이썬 학습 순서와는 달리 첫 시작부터 ‘사용자 정의 함수’를 중심으로 서술한다.
다양한 예제를 통해 문제의 요구사항을 의사코드로 설계하고, 이를 실제로 구현해볼 수 있다. 이 과정에서 복잡한 문제를 좀 더 다루기 쉽도록 작은 규모로 분해하고, 함수로 구조화하여 문제를 해결한다. 또한 앞에서 다룬 코드에 기능을 추가하거나 수정하여 프로그램을 점차 확장시킨다. 이러한 학습 과정으로 어떤 새롭고 복잡한 문제를 만나더라도 스스로 해결할 수 있는 능력을 갖출 수 있을 것이다.

이 책의 구성
- 1장: 컴퓨터 시스템의 기본 특징을 통해 프로그래밍에 대한 개념을 소개한다. 
- 2장: 파이썬 소스코드에 나타나는 주석과 문장, 리터럴 그리고 함수에 대해 소개한다. 
- 3장: 변수에 대한 개념과 입력문을 통해 데이터를 입력 받는 방법에 대해 알아본다. 
- 4장: 하나의 연산 표현식을 이루는 기본 연산자 중 부호, 산술, 대입, 비트, 축약 대입 연산자 그리고 연산자 우선순위와 결합규칙을 소개함으로써 기본적인 연산을 처리하는 프로그램을 작성할 수 있도록 한다.
- 5장: 지역변수와 전역변수의 차이를 기반으로 함수 호출 메커니즘에 대한 온전한 이해를 도모한다.
- 6장: 문자열을 표현하는 다양한 방법과 문자열에서 제공되는 기본 메서드에 대해 소개한다. 
- 7장: 비교 연산자와 논리 연산자를 기반으로 조건평가식을 구성하고, 이를 조건문에 적용해 본다.
- 8장: 프로그램에서의 반복 루프를 효율적으로 기술하기 위해 while 문과 for 문에 대해 다룬다.
- 9장: 복합 자료형 중 리스트와 튜플, 딕셔너리에 대해 다룬다.
- 10장: 복합 자료형의 데이터를 반복문과 같이 좀 더 효율적으로 사용하는 방법에 대해 다룬다.
- 11장: 객체지향 프로그래밍에 대한 기본 개념들을 다룬다.
- 12장: 데이터 파일에 대한 개념과 더불어 데이터 파일에 입출력하는 방법에 대해 다룬다.
- 13장: tkinter 모듈을 인용해 GUI 프로그램을 작성하는 방법에 대해 소개한다."
"인공지능 (파이썬으로 배우는 머신러닝과 딥러닝, 2판)",https://search.shopping.naver.com/book/catalog/38404352624,https://shopping-phinf.pstatic.net/main_3840435/38404352624.20230917072121.jpg,천인국,29700,인피니티북스,20230310,9791192373164,"『인공지능 2판』은 인공지능을 처음 배우는 학습자라도 쉽게 따라올 수 있을 만큼 다양한 그림과 실습으로 가득하다. 특히 딥러닝 분야에서는 구글이 제공하는 텐서플로우 플레이그라운드 사이트를 이용하여 개념을 쉽게 이해할 수 있도록 하였다. 각 장의 본문에는 학습자의 진도에 따라 적절한 실습들이 이어지며, 이것들을 따라 하다 보면 실전에 적용되는 인공지능의 다양한 이론들을 습득하게 된다. 각 장의 끝에는 연습문제를 두어 학습자들이 추가로 학습할 수 있도록 하였다.

이번 개정판에서 변경된 부분은 다음과 같다. 

- 인공지능 소개 내용에 최신의 경향을 반영하였다. 
- 탐색을 위한 파이썬 코드를 수정, 보완하였다. 
- 전통적인 머신러닝 이론인 결정 트리를 추가하였다. 
- 기존의 책에는 없었던 영상 인식 딥러닝, 강화 학습, 생성 모델 등의 내용을 추가하고, 강화 학습 실습 코드를 보완하였다."
자기주도 파이썬 (정보영재 및 올림피아드를 위한 최적의 입문서),https://search.shopping.naver.com/book/catalog/36019497623,https://shopping-phinf.pstatic.net/main_3601949/36019497623.20230801122946.jpg,한컴에듀케이션 알고리즘연구소,15300,복두출판사,20221115,9791166752025,"이 책의 활용 방법
이 책은 각 단원마다 따라하면서 쉽게 익힐 수 있는 기본학습과 각 단원마다 마무리 평가를 위한 형성평가를 통해 학습자 스스로가 자기 주도적으로 프로그램을 익혀나갈 수 있도록 구성되어 있다.

기본학습
각 단원마다 8개 내외의 과제를 해결해 나가는 형식으로 구성되었다. 각 과제를 해결해 나가는 과정은 다음과 같다.

1. 과제제시
- 해결해야 하는 과제가 문제 형식으로 주어지고 입력과 출력의 예가 제시된다.
- 기존에 자신이 알던 방법으로 이 과제를 해결하기 위해 무엇이 부족한지를 생각해보아야 한다.
- 새로 익히게 될 문법이나 형식에 대하여 호기심과 동기를 유발하고자 함이다.
  
2. 소스
- 위 과제를 해결하기 위한 소스 파일을 제시한다.
- 전체적인 내용을 보면서 자신이 모르는 생소한 부분을 찾아서 그 내용이 자신이 위에서 생각했던 것과 연관지어 어떤 역할을 하는지를 개략적으로 유추하게 한다.
 
3. 설명
- 위 소스에서 새로운 문법이나 형식에 대하여 자세한 풀이를 한다.
- 위에서 이미 생소한 부분에 대하여 일차적으로 생각을 했다면 그냥 문법을 제시하고 설명하는 것보다 훨씬 강하게 의미가 전달될 수 있다.
- 과제를 해결하기 위해서 새로운 문법의 도입 필요성을 인식하고 구체적으로 활용사례를 익힘으로써, 문법을 먼저 이해하고 예제에 적용하는 방법보다 훨씬 효과적으로 새로운 내용을 익히게 될 것이다.

4. 자가진단
위 과제와 거의 유사한 문제를 제시하여 스스로 반복학습과 약간의 응용을 통해 새로운 문법이나 형식을 확실하게 적용할 수 있도록 하고 온라인 채점을 통해 스스로를 점검하도록 한다. 

기타 필요할 경우 “따라하기”와 “Tip” 등을 두어 보충설명을 하였다.

형성평가
모든 과제에 대한 학습이 완료되면 단원을 마무리하기 위해 5~10개의 형성평가 문제가 제시되고 역시 온라인 채점을 통해 단원의 핵심적인 내용을 다시 한 번 숙지하도록 한다."
파이썬,https://search.shopping.naver.com/book/catalog/32460987987,https://shopping-phinf.pstatic.net/main_3246098/32460987987.20230207163755.jpg,홍의경,30400,생능출판,20220309,9788970506784,"코딩 실력을 키우는 지름길은 실습이다.

2008년 즈음에 검인정 중학교 교과서 정보1, 정보2, 정보3을 공저로 저술하였습니다. 그 당시에 8종류의 교과서가 검인정에 합격하였는데, 파이썬을 기반으로 하는 교과서가 2종류, C언어를 기반으로 하는 교과서가 2종류, 베이직을 기반으로 하는 교과서가 2종류, 스크래치를 기반으로 하는 교과서가 2종류였습니다.

교육용 언어로 시작한 파이썬이 중학교 학생들이 비교적 쉽게 학습할 수 있는 프로그래밍 언어라고 생각했는데 10여년의 세월이 흐른 지금 파이썬이 활용되는 분야가 가히 폭발적으로 증가하였습니다. 

파이썬에 관한 쉽고 좋은 교재를 저술하기 위해서 인터넷에서 30,000페이지 이상의 자료를 찾아서 검토하였습니다. 어쩌면 파이썬이 첫 프로그래밍 언어일 본 교재의 독자들이 두려움 없이 파이썬을 기초부터 쉽게 공부하다가, 교재를 다 읽고 나면 “어느새 중급 수준에 도달했구나”라는 생각이 들도록  완성도 높은 교재를 목표로 하였습니다. 

입문자를 대상으로 하는 교재일수록 집필하는데 훨씬 더 많은 정성과 노력이 필요하다는 것을 잘 알고 있습니다. 개인적으로는 데이터베이스 전공교재를 저술할 때보다 몇 배 더 힘들었고, 공을 많이 들였습니다. 

원고를 버전 9까지 작성하는 동안 셀 수 없이 원고를 읽어보면서 꼭 필요하지 않은 문장은 삭제하고, 필요한 문장은 반드시 넣었습니다. 고등학교 검인정 교과서 1권, 중학교 검인정 교과서 3권, 데이터베이스 전공 교재 2권, 엑셀 교재 1권, 번역서 2권을 집필하면서 나름대로 한글을 정확하고 간결하게 표현하는데 자신이 있습니다."
