hotel_id,name,starRating,rating,total,current,old,locality,streetAddress,lat,lon
614692000,피터캣호텔 인사동 (Petercat Hotel Insadong),3.0,8.4,91,"₩65,305","₩108,842",서울특별시,종로구 돈화문로11나길 59,37.575034,126.989706
663554,호텔 디 아티스트 역삼점 (Hotel The Artist Yeoksam),2.5,7.2,5,"₩116,135","₩116,135",서울특별시,강남구 테헤란로29길 11,37.502361,127.038449
685034,라마다 앙코르 서울 마곡 (Ramada Encore Seoul Magok),3.5,8.4,168,"₩61,352","₩81,807",서울특별시,강서구 마곡중앙로 161-11,37.568296,126.826515
672401,신라스테이 서초 (Shilla Stay Seocho),3.0,8.2,1108,"₩67,877","₩121,212",서울특별시,서초구 효령로 427,37.489541,127.029712
477998,어반플레이스 강남 (Urban Place Gangnam),3.5,8.0,723,"₩48,581","₩196,238",서울특별시,효령로77길 30,37.491451,127.028822
430781,호텔 더 디자이너스 홍대 (Hotel The Designers Hongdae),3.5,6.8,383,"₩34,673","₩72,231",서울특별시,마포구 서교동 373-9,37.552008,126.917519
734945792,호텔 뉴브 (Hotel Newv),3.5,8.8,624,"₩68,835","₩149,650",서울특별시,강남구 선릉로85길 6,37.503693,127.049397
556117,신라스테이 광화문 (Shilla Stay Gwanghwamun),4.0,8.4,1263,"₩72,698","₩120,088",서울특별시,종로구 삼봉로 71,37.572724,126.980844
419919008,아리랑힐 호텔 동대문 (Arirang Hill Hotel Dongdaemun),4.0,8.8,503,"₩63,490","₩126,980",서울특별시,성북구 아리랑로 8,37.593582,127.016362
826795648,홀리데이인 익스프레스 서울 홍대 (Holiday Inn Express Seoul Hongdae),3.5,8.8,728,"₩63,601","₩63,601",서울특별시,동교동 190-1,37.556573,126.928034
445673,카라쉬 호텔 서울 (Karashy Hotel Seoul),3.5,8.2,224,"₩69,380","₩83,588",서울특별시,동작구 동작대로1길 15,37.476761,126.980232
426118,소노문 양평(구 대명리조트 양평) (Sono Moon Yangpyeong (formerly Daemyung Resort Yangpyeong)),3.5,8.0,70,"₩75,104","₩83,443",양평군,개군면 신내길7번길 55,37.468715,127.532724
640817504,라마다 서울 신도림 호텔 (Ramada Seoul Sindorim Hotel),3.5,8.8,111,"₩77,253","₩86,806",서울특별시,구로구 경인로 624,37.506306,126.885282
631683136,레스트 호텔 (Rest Hotel),3.5,9.2,124,"₩68,022","₩68,022",김포시,태장로795번길 151,37.639691,126.685165
484424,신라스테이 서대문 (Shilla Stay Seodaemun (Seoul Station)),4.0,8.4,1407,"₩60,606","₩134,685",서울특별시,서대문구 충정로 76,37.565384,126.967074
512180,한화리조트 산정호수 안시 (Hanwha Resorts Sanjeong Lake Annecy),3.5,7.8,67,"₩98,865","₩98,865",포천시,산정호수로 402,38.066496,127.314294
516320,대하모텔 (Motel Daeha),2.5,7.0,43,"₩43,526","₩72,554",서울특별시,광진구 아차산로 583,37.545545,127.10473
